N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"67,500",600,-0.88%,100,"4,029,603","5,969,783",50.77,"16,587,494",10.59,13.92,
2,LG에너지솔루션,"415,500","5,500",+1.34%,500,"972,270","234,000",2.99,"318,385",104.84,10.68,
3,SK하이닉스,"111,000","2,500",-2.20%,"5,000","808,083","728,002",49.72,"3,660,030",8.42,16.84,
4,삼성바이오로직스,"796,000","3,000",+0.38%,"2,500","566,545","71,174",10.34,"42,501",135.42,8.21,
5,삼성전자우,"60,100",500,-0.83%,100,"494,555","822,887",72.32,"1,029,915",9.43,N/A,
6,NAVER,"271,500","5,000",-1.81%,100,"445,393","164,049",53.73,"613,095",33.01,106.72,
7,삼성SDI,"591,000","12,000",-1.99%,"5,000","406,398","68,765",43.23,"192,062",35.56,8.45,
8,현대차,"182,000","3,500",-1.89%,"5,000","388,876","213,668",26.87,"539,416",10.20,6.84,
9,카카오,"80,400","2,200",-2.66%,100,"357,047","444,088",28.53,"1,506,880",25.67,17.10,
10,LG화학,"502,000","10,000",-1.95%,"5,000","354,374","70,592",48.12,"200,347",10.71,18.47,
11,기아,"82,100","2,400",-2.84%,"5,000","332,803","405,363",36.00,"1,288,614",6.99,14.69,
12,POSCO홀딩스,"285,000","3,000",-1.04%,"5,000","248,482","87,187",53.05,"261,416",3.76,13.97,
13,KB금융,"56,700","1,300",-2.24%,"5,000","233,804","412,352",72.87,"1,504,563",5.35,9.80,
14,삼성물산,"116,000",0,0.00%,100,"216,789","186,887",15.92,"296,991",13.37,5.40,
15,신한지주,"40,700","1,350",-3.21%,"5,000","208,764","512,934",62.67,"1,730,535",5.41,8.80,
16,셀트리온,"141,000","1,500",-1.05%,"1,000","198,483","140,768",19.55,"533,325",34.47,15.81,
17,SK이노베이션,"204,000","4,000",-1.92%,"5,000","188,630","92,466",24.19,"209,278",12.97,1.91,
18,현대모비스,"195,000","6,500",-3.23%,"5,000","184,418","94,573",34.07,"236,954",7.86,6.87,
19,카카오뱅크,"38,650",750,-1.90%,"5,000","184,050","476,196",15.15,"1,017,644",82.76,4.91,
20,SK,"247,000","1,000",-0.40%,200,"183,149","74,149",21.51,"142,316",8.93,10.19,
21,LG전자,"101,500","5,500",-5.14%,"5,000","166,103","163,648",27.23,"1,959,596",14.57,6.32,
22,한국전력,"22,500",50,-0.22%,"5,000","144,442","641,964",14.68,"1,519,691",-2.72,-7.99,
23,HMM,"29,250",250,-0.85%,"5,000","143,044","489,039",9.70,"3,927,422",1.50,88.62,
24,하나금융지주,"45,300",900,-1.95%,"5,000","134,044","295,903",72.42,"1,140,855",3.86,10.86,
25,삼성생명,"65,700","1,200",-1.79%,500,"131,400","200,000",12.93,"279,730",8.94,4.01,
26,SK텔레콤,"57,800","1,000",-1.70%,100,"126,486","218,833",48.67,"896,344",8.59,13.63,
27,두산에너빌리티,"19,800",50,-0.25%,"5,000","125,150","632,072",9.61,"3,474,927",19.30,10.67,
28,S-Oil,"107,000","3,000",-2.73%,"2,500","120,464","112,583",80.97,"296,263",9.05,21.76,
29,삼성전기,"158,000","3,000",-1.86%,"5,000","118,016","74,694",27.53,"341,459",13.74,14.29,
30,LG,"74,400",800,-1.06%,"5,000","117,032","157,301",36.68,"263,115",4.80,12.36,
31,카카오페이,"88,100","1,100",-1.23%,500,"116,716","132,481",42.50,"309,371",-444.95,-2.45,
32,크래프톤,"237,000","10,500",-4.24%,100,"116,301","49,072",28.75,"234,171",19.49,17.86,
33,KT&G,"84,500",300,+0.36%,"5,000","116,012","137,292",38.40,"500,519",11.87,10.74,
34,삼성에스디에스,"146,000","1,000",+0.69%,500,"112,972","77,378",12.91,"189,815",18.48,8.80,
35,고려아연,"561,000","4,000",+0.72%,"5,000","105,861","18,870",20.00,"51,393",14.02,11.07,
36,LG생활건강,"668,000","9,000",-1.33%,"5,000","104,330","15,618",37.23,"111,543",14.01,16.65,
37,우리금융지주,"14,200",700,-4.70%,"5,000","103,385","728,061",37.82,"10,073,727",3.98,10.59,
38,현대중공업,"114,500","2,500",-2.14%,"5,000","101,645","88,773",5.97,"555,222",-9.29,-14.87,
39,대한항공,"28,750",700,-2.38%,"5,000","99,998","347,821",13.38,"1,296,912",8.62,11.60,
40,포스코케미칼,"128,500","4,500",+3.63%,500,"99,540","77,463",6.35,"446,211",72.89,7.92,
41,KT,"36,350",100,+0.28%,"5,000","94,914","261,112",42.72,"1,019,112",6.99,9.36,
42,엔씨소프트,"429,500","6,000",-1.38%,500,"94,293","21,954",42.21,"116,719",19.44,12.62,
43,삼성화재,"198,500","3,000",-1.49%,500,"94,039","47,375",49.30,"83,470",8.94,7.09,
44,SK바이오사이언스,"121,500","3,500",-2.80%,500,"93,293","76,784",4.35,"226,137",27.26,38.08,
45,하이브,"218,500","1,500",-0.68%,500,"90,357","41,353",15.34,"144,143",60.59,6.83,
46,아모레퍼시픽,"153,000","3,000",-1.92%,500,"89,494","58,493",26.16,"303,425",54.53,4.20,
47,SK아이이테크놀로지,"119,500",500,-0.42%,"1,000","85,201","71,298",9.52,"166,525",109.73,5.57,
48,기업은행,"11,000",50,-0.45%,"5,000","81,873","744,301",14.70,"1,287,657",3.63,9.21,
49,LG이노텍,"340,000","12,000",-3.41%,"5,000","80,468","23,667",24.94,"217,947",9.06,30.94,
50,현대글로비스,"201,500","8,000",-3.82%,500,"75,562","37,500",44.74,"154,424",9.65,14.41,
51,넷마블,"80,000","3,400",+4.44%,100,"68,763","85,954",22.74,"363,649",48.84,4.29,
52,롯데케미칼,"196,500","1,500",+0.77%,"5,000","67,351","34,275",24.38,"98,472",5.01,9.87,
53,SK바이오팜,"86,000","2,100",-2.38%,500,"67,349","78,313",6.06,"99,859",103.86,15.75,
54,SK스퀘어,"44,700",300,-0.67%,100,"63,236","141,468",40.01,"455,484",2.77,N/A,
55,한국조선해양,"86,400","2,200",-2.48%,"5,000","61,148","70,773",20.56,"176,080",-6.58,-8.95,
56,LG디스플레이,"16,750",550,-3.18%,"5,000","59,934","357,816",16.34,"2,164,776",6.13,9.68,
57,한화솔루션,"31,200",50,+0.16%,"5,000","59,679","191,278",18.27,"1,176,483",9.44,8.79,
58,CJ제일제당,"396,000","11,500",-2.82%,"5,000","59,615","15,054",22.68,"52,901",10.03,10.76,
59,SKC,"153,000","5,000",+3.38%,"5,000","57,938","37,868",14.78,"329,337",26.23,11.60,
60,한온시스템,"10,700",200,-1.83%,100,"57,117","533,800",17.27,"658,616",18.51,13.83,
61,강원랜드,"26,650",550,-2.02%,500,"57,015","213,940",19.72,"599,505",-543.88,-0.33,
