N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"66,700","1,200",-1.77%,100,"3,981,845","5,969,783",50.74,"12,757,008",10.47,13.92,
2,LG에너지솔루션,"439,500","1,500",+0.34%,500,"1,028,430","234,000",3.15,"278,031",140.06,10.68,
3,SK하이닉스,"109,000","4,000",-3.54%,"5,000","793,523","728,002",49.74,"3,381,306",7.49,16.84,
4,삼성바이오로직스,"811,000","8,000",-0.98%,"2,500","577,221","71,174",10.35,"27,205",113.24,8.21,
5,삼성전자우,"59,600",500,-0.83%,100,"490,440","822,887",72.28,"638,276",9.35,N/A,
6,NAVER,"268,500","9,000",-3.24%,100,"440,472","164,049",53.77,"394,358",32.64,106.72,
7,삼성SDI,"587,000","24,000",-3.93%,"5,000","403,648","68,765",43.28,"229,705",29.68,8.45,
8,현대차,"184,500","3,500",-1.86%,"5,000","394,218","213,668",26.84,"294,725",9.83,6.84,
9,LG화학,"545,000","2,000",+0.37%,"5,000","384,728","70,592",48.09,"144,808",13.98,18.47,
10,카카오,"81,000","1,900",-2.29%,100,"359,711","444,088",28.55,"841,862",14.59,17.10,
11,기아,"83,800",400,-0.48%,"5,000","339,694","405,363",36.00,"457,453",7.14,14.69,
12,POSCO홀딩스,"291,500","1,000",-0.34%,"5,000","254,150","87,187",53.18,"165,135",3.48,13.97,
13,KB금융,"59,600","1,300",+2.23%,"5,000","245,762","412,352",72.92,"1,087,240",5.62,9.80,
14,신한지주,"42,350",750,+1.80%,"5,000","217,228","512,934",62.55,"952,363",5.63,8.80,
15,삼성물산,"116,000","1,500",-1.28%,100,"216,789","186,887",15.91,"163,123",16.50,5.40,
16,셀트리온,"146,000","1,000",-0.68%,"1,000","205,521","140,768",19.57,"182,931",41.07,15.81,
17,카카오뱅크,"40,000",0,0.00%,"5,000","190,503","476,256",15.09,"511,439",85.65,4.91,
18,SK이노베이션,"205,000","4,000",-1.91%,"5,000","189,554","92,466",24.33,"112,052",13.03,1.91,
19,현대모비스,"199,500","3,500",-1.72%,"5,000","188,673","94,573",34.10,"87,377",8.32,6.87,
20,SK,"234,000","12,000",-4.88%,200,"173,509","74,149",21.53,"418,808",5.70,10.19,
21,LG전자,"102,500","2,500",-2.38%,"5,000","167,739","163,648",27.02,"470,748",14.71,6.32,
22,HMM,"32,350",700,+2.21%,"5,000","158,204","489,039",10.04,"6,445,439",1.66,88.62,
23,한국전력,"23,700","1,000",+4.41%,"5,000","152,145","641,964",14.63,"5,237,265",-1.34,-7.99,
24,하나금융지주,"47,900",500,+1.05%,"5,000","141,738","295,903",72.65,"650,322",4.08,10.86,
25,삼성생명,"67,100",100,+0.15%,500,"134,200","200,000",12.97,"189,962",9.13,4.01,
26,두산에너빌리티,"20,300",100,-0.49%,"5,000","128,340","632,215",9.56,"2,267,109",30.43,10.67,
27,카카오페이,"95,500",100,-0.10%,500,"126,520","132,481",42.51,"193,709",-482.32,-2.45,
28,SK텔레콤,"56,600",700,-1.22%,100,"123,860","218,833",48.70,"477,691",8.42,13.63,
29,크래프톤,"251,500","5,000",-1.95%,100,"123,416","49,072",28.91,"100,724",20.69,17.86,
30,LG,"75,400",0,0.00%,"5,000","118,605","157,301",36.66,"100,375",4.27,12.36,
31,S-Oil,"104,000","1,000",-0.95%,"2,500","117,086","112,583",81.20,"116,208",6.37,21.76,
32,KT&G,"85,000",300,+0.35%,"5,000","116,699","137,292",38.66,"325,110",12.06,10.74,
33,삼성전기,"153,000","6,500",-4.08%,"5,000","114,281","74,694",27.39,"658,911",12.18,14.29,
